RequirementText,_class_
rf system available especially budgeting period rf system shall available time year budgeting period time system become available within hour time situation report,A
user workstation shall meet minimum hardware requirement prior implementation minimum hard disk space,O
user workstation shall meet minimum software requirement prior implementation microsoft internet explorer microsoft framework microsoft internet explorer web control,O
rf system able easily interface bdw environment order load data data file shall receive bdw load rf system within hour one day prior start budget process every year data october test file shall load time throughout year bdw,O
change revenue expense formula must apply rf system every year prior budgeting process start revenue expense formula update within one week receipt week allot test budget calculation conduct jointly project development team pcg finance,MN
new account add bdw must reflect rf system entity mention available october load rf system prior budget start process,MN
authorize user shall access rf system users exist uas system rf system assign role shall access rf system use,SE
user access limit permission grant role level pcg hierarchy assign role user assign role access functionality within rf system dependent assign role,SE
product must comply intranet page standard requirement enet security product look feel approve architecture group prior implementation remain correct approve within one month product release,LF
intranet page display appropriately resolution high display page correct resolution prior implementation remain correct within week notification incorrect display,LF
user able easily use system successfully complete budget within stipulated time completion week train prior product implementation user shall complete budget within stipulated time,US
product interface fast response time product interface exceed second time time response time second,PE
system shall operate unix windows operate system,PO
system shall evoke type pine command shell prompt,O
system shall use smtp mail protocol,O
system shall support ability perform send receive operation,F
system shall support ability perform send operation,F
system shall support ability perform receive operation,F
system shall use interface display listing available mail,LF
system shall help system offer tip explanation screen item screen upon demand,US
system shall display embed message message send,F
system shall allow text search user may use find mail message,F
system search feature support use regular expression search,F
system shall provide option withdraw money,F
system shall query user amount money,F
system shall query user account type,F
system shall validate amount available user account release fund user,F
system shall validate amount multiple,F
system shall debit user account upon withdrawal fund,F
system shall able issue specific amount money user,F
meeting scheduler system shall able select participant important participant,F
meeting scheduler system shall cancel meeting due cancel important participant,F
meeting scheduler system shall reschedule meeting support conflict resolution,F
meeting scheduler shall access web,O
meeting scheduler system may optionally automatically propose another meeting current meeting cancel important participant,F
meeting scheduler system may provide meeting initiator summary scan potential meeting participant show available time slot schedule conflict mean inform meeting initiator overall result system,F
meeting scheduler system may able include agenda meeting proposal,F
meeting scheduler system may suggest virtual meeting available time slot location available feasible meeting,F
meeting scheduler system may able include list required equipment meeting proposal,F
meeting scheduler system temporarily reserve time slot propose meeting,F
meeting scheduler system inform potential meeting participant meeting,F
system must easy use manager chef need read extensive amount manual,US
system must quickly accessible manager chef,US
system must intuitive simple way display relevant data relationship,US
menu system must easily navigable user button easy understand,US
function system must available user every time system turn,A
calculation perform system must comply accord norm set user vary unless explicitly change user,L
client agree eula use software,L
web page generate system shall fully downloadable second modem connection,PE
response query shall take long second load onto screen user submit query,PE
system shall display confirmation message user within second user submit information system,PE
network transaction involve financial information personally identifiable information shall encrypt,SE
user shall require log cafeteria order system operation except view menu,F
patron shall log accord restrict computer system access policy,SE
system shall permit cafeteria staff member list authorized menu manager create edit menu,F
user authorize home access corporate intranet may use co location,SE
programmer application developer access source code address bug system enhancement deemed necessary network administrator dba support also require maintain system uptime,A
system security access level provide online system vary level system access functional authority student access limit registration record authorized system administrator access student registration record,SE
online registration system style system shall initially address student registration need,F
data entry form application match microsoft excel hardcopy counterpart closely possible hardcopies form provide design team second requirement interview,O
user need read user manual able use application,US
change make manage id website adopt without alter ios application,MN
application connect internet,A
application connect gps device,A
application easy extend code write way favor implementation new function,MN
test environment build application allow testing application different function,MN
application portable io android,PO
system shall show tabbed display equivalent functionality campus map one tab info recently announce building,LF
system shall allow user scroll campus map campus map tab,US
campus map shall provide visual clue regard area prepare audio therefore may select,LF
campus map shall button pause resume button allow user scroll select building without interrupt automatic search announce feature,LF
system shall provide way return startup screen,US
generate report registered complaint admin response report user submit query,F
system maintain correct schedule lab documentation lab equipment,F
system use company color logo,LF
system shall capable restore previous state event failure system crash power loss,FT
system shall able display menu time facilitate manual order take need arise,LF
system shall utilise periodic message tablet server monitor tablet operational status,O
system shall flag tablet fail send timely message disassociate assigned waiter tablet,FT
waiter password use tablet login must least bit,SE
waiter password use tablet login must change every three month,SE
waiter shall able log one tablet give instance time,SE
waiter attempt log second tablet already log another tablet shall reject notify tablet,SE
display shall require user log,SE
surface computer shall require user log,SE
tablet shall require user log use username password,SE
system fully function major browser,PO
system support mobile user way,PO
response view information shall take long second appear screen,PE
system shall accommodate large data item without fault,FT
system use secured database,SE
unauthorised user read data without modify anything,SE
abs shall handle expect unexpected error way prevent loss information long downtime period,FT
authenticate login user web app,F
enable new user register tech support system,F
enable registered user change password forget password,F
enable registered user view profile additional information viz question ask answer post also display,F
enable user view question corresponding answer,F
enable log user ask question,F
enable log user post answer,F
enable log user vote vote answer,F
provide interface admin approve post post visible without admin approval,F
enable admin generate report contain post corresponding reply,F
information transmission securely transmit server without change information,SE
intuitive even first time user,LF
flea market system interface web server rdbms software use apis provide implementation language,O
transaction flea market require valid user id password,SE
secure data transfer internet could provide use ssl encryption configure host system administrator,SE
ip address transaction make log,SE
user password store database encrypted format,SE
system function control use administrative interface,F
detailed documentation code sr enable easy maintenance flea market,MN
information record must include optional field context,F
information tag accord enter data,F
must able download recent medical record,F
must store recent copy information application data folder,F
must update part change connect server,O
must able change update information server,O
application must log user exit,SE
correct combination username password require user login,SE
give view data medical record log,LF
user must able set option hide information base tag,F
user must able add photo photo library medical record,F
must allow user login,F
must allow user logout,F
information must viewable website,F
information must updatable website,F
must allow user download backup medical information,F
logout must automatic hour inactivity,SE
full data backup must create daily,SE
user must log able view edit medical information,F
account must securely store data,SE
account must separate identifying account number,F
system shall allow user choose fill want,F
system shall allow user choose preferable topping,F
system shall allow user decorate doughnut,F
system shall give user opportunity user choose selection doughnut provide,F
system take customer name,F
system keep customer contact number,F
system keep customer email,F
system ask user key pickup date,F
system require user state time doughnut deliver,F
system keep location doughnut send,O
website available whenever user want use,A
system use ssl secure socket layer transaction include confidential customer information,SE
system must automatically log customer period inactivity,SE
system leave cooky customer computer contain user password,SE
system server shall accessible authenticated administrator,SE
sensitive data encrypt send insecure connection like internet,SE
system provide storage database redundant computer automatic switchover,O
reliability overall program depend reliability separate component main pillar reliability system backup database continuously maintain update reflect recent change,FT
may use system o either window linux,PO
logo current basic design registration system display system attractive accord client design color make user feel comfortable use system instead flash useless color screen design also reflect seriousness environment,LF
system able manage information incoming database catalogue,O
product web base therefore use environment allow web access,PO
system successfully operate registration system integrate service portal,O
system need entirely since user would use register course,US
web interface compatible standard order usable via major web browser wide variety environment,PO
everyone stakeholder guest access system catalogue every client must secure private access data service man access every part system access except guest tour access require identification id password,SE
system develop security system reduce minimum possibility corruption system human,SE
operational interface shall mean time failure less day,FT
system shall available time,A
software system need robust security mechanism place unauthorized user allow access part system,SE
user shall either trust trust,SE
source code development related document shall control version control system,MN
source code shall adhere agree upon set coding standard development language use,MN
since software must run several popular hardware platform goal achieve reasonable level platform independence,PO
high level performance require high speed network high level connectivity,PE
available server must reliable network connectivity supermarket proper smooth flow operation data,O
every user software provide unique login id password store database hash algorithm,SE
software available use supermarket opening time closing time,A
system shall accommodate high number item user without fault,FT
system use shall cause harm human user,SE
system use secured database,SE
normal user read information edit modify anything except personal information,SE
system different type user every user access constraint,SE
control database keep track record customer employee detail,F
contact vendor give permission sell product site test product quality,F
view detail employee control whole site,F
customer must valid login id enter site,SE
new user sign create new id,F
view available product compare make choice purchasing product,F
purchase product valid credit card,F
give feedback customer care service center impression site service,F
customer must logout site purchase product,F
visit site without registration,F
vendor must take permission administrator sell product site administrator test product quality accord market price permit vendor sell purpose,F
consult administrator regard product quality advertisement,F
view personal detail customer,F
responsible properly allocate select product accord customer choice deliver product customer,F
keep track product item stock sell purpose,F
responsible inform administrator product item stock go minimum level,F
take permission administrator product purchase vendor,F
responsible manage stock product item,F
keep track payment transaction make customer update payment information,F
responsible contact bank validation number provide customer purchase make transaction give,F
consult administrator payment detail customer updating database,F
provide feasible solution customer complaint query,F
system require user state time doughnut deliver,F
system expect reasonable short time response voter able login able get response request second,PE
data transaction client server must encrypt use ssl technology,SE
password generate accept must store database encrypted form,SE
prevent attack system generate random word ask user enter correctly multiple tryings,SE
system warn eca user malfunction system,FT
system simple use,LF
must valid user login access system,F
failed login alert,F
list available patient display login,F
error message alert invalid patient enter,F
capability implement type error,F
select specify patient information load,F
return list available patient load correct,F
navigation select tab,F
font large enough easy reading,F
icon clearly illustrate feature represent,F
basic patient information show first,F
customize information display,F
entry show full,F
text note enter display start recent,F
new delete button allow add notation patient file,F
description prescription order give display start recent,F
user system shall login use form unique identification,SE
login attempt shall do secure manner,SE
system shall compatible microsoft window operate system,O
system shall allow administrator remove equipment,F
system shall allow administrator install additional distribute location template,F
system shall allow administrator remove physical location,F
system shall allow administrator define negotiation rule organization,F
system shall give mediator privilege schedule location equipment resource,F
system shall allow mediator negotiate meeting date,F
system shall allow mediator solve date conflict,F
system shall allow mediator negotiate location equipment,F
system shall allow mediator solve location conflict,F
system shall allow mediator send receive message user,F
system shall allow initiator view information meeting initiate,F
system shall allow initiator cancel meeting initiate,F
system shall allow initiator send receive message user,F
system shall authenticate user begin session,F
system shall allow user view schedule,F
system shall notify user schedule change,F
system shall allow user send receive message,F
system shall request user response initiator mediator message,F
system shall allow user modify date preference set already submit meeting response,F
system shall allow user modify location preference set already submit meeting response,F
system shall allow user modify equipment requirement set already submit meeting response,F
system shall allow user modify date exclusion set already submit meeting response,F
system shall allow user change password,F
system shall allow user view past attended meeting,F
system shall allow user view pending meeting,F
system shall show meeting user ascend time order default,F
system shall allow user view equipment information,F
system shall allow user view user information,F
system shall allow user specify custom meeting location,F
system shall allow user view location information,F
system shall allow user search available distribute location template,F
system shall allow user view information concern available distributed location template,F
web application shall add second perceivable overhead time necessary web database transaction time,PE
system shall utilize https communication ensure data confidentiality,SE
user authentication privilege define outside scope sytem microsoft active directroy server,SE
personal information security define outside scope sdms database server,SE
user shall require log system operation except operation login page,SE
system shall run window server,PO
system shall compatible apache,PO
system shall display product configure,F
system shall allow user select product configure,F
system shall display available component product configure,F
system shall enable user add one component configuration,F
system shall notify user conflict current configuration,F
system shall allow user confirm completion current configuration,F
system shall display detailed information select product,F
system shall provide browse option see product detail,F
system shall display detailed product categorization user,F
system shall enable user enter search text screen,F
system shall enable user select multiple option screen search,F
system shall display matching product base search,F
system shall display match result current screen,F
system shall enable user navigate search result,F
system shall notify user match product find search,F
system shall allow user create profile set credential,F
system shall authenticate user credential view profile,F
system shall allow user update profile information,F
system shall display active complete order history customer profile,F
system shall allow user select order order history,F
system shall display detailed information select order,F
system shall display frequently search item user profile,F
system shall allow user register newsletter survey profile,F
system shall allow user select support type want,F
system shall allow user enter customer product information support,F
system shall display customer support contact number screen,F
system shall allow user enter contact number support personnel call,F
system shall display online help upon request,F
system shall display faq upon request,F
system shall maintain customer email information required part customer profile,F
system shall send order confirmation user email,F
system shall display detailed invoice current order confirm,F
system shall optionally allow user print invoice,F
system shall provide shop cart online purchase,F
system shall allow user product shopping cart,F
system shall display different shipping option provide ship department,F
system shall enable user select shipping method payment process,F
system shall display shipping charge,F
system shall display tentative duration shipping,F
system shall allow user enter order information tracking,F
system shall display current tracking information order,F
system shall calculate tax order,F
system shall display tax information order,F
system shall display available payment method payment,F
system shall allow user select payment method order,F
system shall display order eligible change,F
system shall allow user select order change,F
system shall allow user cancel order,F
system shall notify user change make order,F
system shall enable user enter review rating,F
system shall display available financing option,F
system shall allow user select financing option,F
system shall notify use financing request,F
system shall allow user view detailed sitemap,F
system shall display available promotion user,F
system shall allow user select available promotion,F
system shall allow user confirm purchase,F
system shall enable user enter payment information,F
system shall provide uniform look feel web page,LF
system shall provide digital image product product catalog,US
system shall provide use icon toolbars,US
system shall provide handicap access,US
system shall provide multi language support,US
system shall provide contractual agreement internet service provider access availability,A
system shall provide contractual agreement internet service provider provide availability network facility onto internet,A
product shall base web run web server,O
product shall take initial load time depend internet connection strength also depend medium product run,PE
performance shall depend upon hardware component,PE
system shall use secure socket transaction include confidential customer information,SE
system shall automatically log customer period inactivity,SE
system shall confirm transaction customer web browser,US
system shall leave cooky customer computer contain user password,SE
system shall leave cooky customer computer contain user confidential information,SE
customer web browser shall never display customer password shall always echo special character represent type character,SE
customer web browser shall never display customer credit card number retrieve database shall always show last digit credit card number,SE
system server shall never display customer password customer password may reset never show,SE
system database shall encrypt,SE
system shall allow user register account page system,F
system use single password per user login system,SE
system shall use secure socket layer ssl technology ensure payment make online user logins secure,SE
page application take second load dsl broadband connection,PE
system may throttle slow heavy load ensure service everybody throttle mean certain functionality may unavailable heavy server load,PE
application able support concurrent user without performance degradation,PE
system able scale concurrent user need future instal additional hardware component,SC
mtbf less month,A
secure server require ensure confidentiality customer credit card detail,SE
user interface system user friendly,US
take second new user register account,US
take second registered user place order,US
system easy enough maintain someone else could manual hour train,MN
system portable various operate environment,PO
register user must able maintain session information least minute inactive session system prompt log system registered user must provide option regardless time log,F
entire website must easily navigable website must provide site map quick access particular link accord requirement specification user must able find want site without difficulty website must adhere brand scheme layout web page must uniform throughout,US
system shall support simultaneous user central database give time simultaneous user local server one time performance website must optimal incase huge load hence appropriate load balancing must do achieve number mirror server readily available case huge load without user get delay,PE
website must provide high degree security registered user transaction make must secure sensitive information pass website must secure identity theft security relate issue must solve unauthorized transmission sensitive information user third party website reference must avoid basis user agreement information must process information registered user must securely store central database,SE
